<?xml version="1.0" encoding="UTF-8"?>Key;Name
9008;Herzogtum Braunschweig-Lüneburg. Oberappellationsgericht
12097;Montyon-Preis
18992;Rheinische Friedrich-Wilhelms-Universität Bonn. Akademischer Senat
6090;Orell Füssli &amp;amp; Comp. (Zürich, 1797-1871)
6091;Orell, Gessner, Füßlin &amp;amp; Comp. (Zürich, bis 1797)
9240;Stadtbibliothek Zürich
6096;Hofbibliothek (Wien)
7064;Staatliche Kunstsammlungen Dresden. Skulpturensammlung
1516;Haller und Co.
9138;Parbury, Allen &amp;amp; Co. (London, 1827-1834)
9011;Deutscher Verein (London)
9252;Société de Géographie (Paris)
9251;Académie des Sciences
21931;Odéon-Théâtre de l&amp;#039;Europe (Paris)
21932;Université de Genève
12191;Friedrich Frommann (Jena)
9268;J. A. G. Weigel (Leipzig)
12070;Königliche Steuer-Kasse (Bonn)
12194;Éditions Belin
12195;Firmin-Didot Frères
12074;Zollamt (Bonn)
12076;Königliche Albertus-Universität zu Königsberg i. Pr.
9260;Crapelet (Offizin, Paris)
9143;East India House (London)
9261;France. Ministère de l’Intérieur
12078;Gerhard Fleischer (Leipzig)
12079;France. Armée
19704;Irren-Heilanstalt Bayreuth
12081;Patriotenpartei
13050;Baldwin, Cradock and Joy
9271;Bonner Universitäts-Buchdruckerei
20826;Société d&amp;#039;Encouragement pour l&amp;#039;Industrie Nationale
9272;J. H. Bohte’s Hofbuchhandlung (London)
5908;Königliche Akademie der Bildenden Künste und Mechanischen Wissenschaften zu Berlin (1790-1809)
9287;France. Maison du Roi
12052;Santa Maria di Brera (Mailand)
12297;Academia Julia
1434;Mohr &amp;amp; Zimmer (Heidelberg)
5919;Ruff’sche Verlagsbuchhandlung (Halle, Saale)
12298;Erziehungsanstalt Schnepfenthal
19922;Oberlausitzische Bibliothek der Wissenschaften
5911;Sachsen-Weimar. Oberkonsistorium
12061;Magdalen College (Oxford)
12066;Polizei-Direction (Wien)
2416;Bankhaus Gebrüder Bethmann
5926;Verlag Georg Reimer
2410;Tottie und Compton
13038;Bengal (Presidency). General Committee of Public Instruction
5920;Schimmelpfennig und Compagnie (Halle (Saale))
